,date,state,positive,death,total,temp,stp,wdsp,prcp,fog,coronavirus,covid,dry cough,fever,shortness of breath,face mask,Chinawords,Italywords,USwords,Outbreakwords,twitter_number
1250,2020-03-18,MT,10.0,0.0,509,23.1,999.9,999.9,0.0,0,63,45,74,62,0,0,1123,174,1005,260,913230
1249,2020-03-18,MS,34.0,0.0,513,71.9,8.4,8.0,0.0,0,80,68,40,58,0,0,1123,174,1005,260,913230
1274,2020-03-18,WY,15.0,0.0,193,38.7,830.8,8.4,0.0,0,69,73,0,41,63,13,1123,174,1005,260,913230
1273,2020-03-18,WV,1.0,0.0,137,52.4,989.2,3.5,0.09,1,80,55,27,86,36,8,1123,174,1005,260,913230
1272,2020-03-18,WI,106.0,0.0,1683,37.2,983.9,4.8,0.0,0,82,79,45,100,13,8,1123,174,1005,260,913230
1271,2020-03-18,WA,1414.0,82.0,33256,38.1,871.8,2.4,0.0,0,83,84,46,71,78,5,1123,174,1005,260,913230
1270,2020-03-18,VT,19.0,0.0,611,36.3,986.4,5.9,0.0,0,68,81,71,45,0,10,1123,174,1005,260,913230
1269,2020-03-18,VA,77.0,1.0,1278,52.2,11.3,6.2,0.0,0,78,70,84,75,79,8,1123,174,1005,260,913230
1267,2020-03-18,TX,83.0,2.0,1907,72.0,985.0,8.8,0.02,0,83,80,91,100,74,7,1123,174,1005,260,913230
1266,2020-03-18,TN,98.0,0.0,447,58.9,999.9,4.8,0.0,1,83,65,52,88,34,6,1123,174,1005,260,913230
1265,2020-03-18,SD,11.0,1.0,912,38.1,951.0,6.4,0.0,1,70,69,66,25,58,0,1123,174,1005,260,913230
1264,2020-03-18,SC,60.0,1.0,643,62.4,18.1,1.7,0.08,1,73,70,18,100,57,9,1123,174,1005,260,913230
1263,2020-03-18,RI,33.0,0.0,907,44.3,25.4,5.6,0.13,0,72,67,0,43,33,3,1123,174,1005,260,913230
1268,2020-03-18,UT,63.0,0.0,194,46.2,855.3,6.3,0.07,1,46,53,41,56,33,4,1123,174,1005,260,913230
1261,2020-03-18,OR,75.0,3.0,1554,33.1,999.9,4.5,0.0,0,86,79,20,90,61,5,1123,174,1005,260,913230
1262,2020-03-18,PA,133.0,1.0,1320,42.2,12.4,3.9,0.0,0,82,83,53,91,72,4,1123,174,1005,260,913230
1252,2020-03-18,ND,6.0,0.0,274,29.4,958.6,9.7,99.99,1,100,100,75,65,76,22,1123,174,1005,260,913230
1253,2020-03-18,NE,24.0,0.0,230,44.4,947.7,5.7,0.06,1,76,80,91,62,25,7,1123,174,1005,260,913230
1254,2020-03-18,NH,26.0,0.0,747,38.2,5.0,4.6,0.0,0,73,75,28,48,41,5,1123,174,1005,260,913230
1255,2020-03-18,NJ,427.0,5.0,638,47.7,24.1,6.1,0.02,0,73,69,88,91,70,7,1123,174,1005,260,913230
1251,2020-03-18,NC,63.0,0.0,1850,53.7,2.8,2.1,0.01,1,82,73,48,98,66,6,1123,174,1005,260,913230
1257,2020-03-18,NV,55.0,1.0,223,34.8,825.0,6.4,0.0,0,85,75,74,63,71,8,1123,174,1005,260,913230
1258,2020-03-18,NY,2382.0,12.0,14597,40.5,976.7,6.0,0.01,0,75,73,84,88,87,13,1123,174,1005,260,913230
1259,2020-03-18,OH,88.0,0.0,228,37.5,982.0,3.4,99.99,1,77,83,65,95,86,6,1123,174,1005,260,913230
1260,2020-03-18,OK,29.0,0.0,517,59.5,979.1,6.9,1.03,1,86,69,61,57,43,6,1123,174,1005,260,913230
1256,2020-03-18,NM,28.0,0.0,2354,48.9,807.8,11.5,99.99,1,78,68,64,54,76,4,1123,174,1005,260,913230
1187,2020-03-19,IL,422.0,4.0,3147,49.3,983.1,10.7,0.34,1,77,86,100,81,100,9,885,192,1034,229,1037389
1195,2020-03-19,MI,3392.0,3.0,5177,37.7,992.1,4.5,99.99,1,74,76,66,93,69,10,885,192,1034,229,1037389
1194,2020-03-19,ME,53.0,0.0,2057,35.6,18.3,2.5,0.0,1,67,82,52,66,0,3,885,192,1034,229,1037389
1193,2020-03-19,MD,107.0,1.0,201,52.2,999.9,2.7,0.0,0,81,79,100,84,42,6,885,192,1034,229,1037389
1192,2020-03-19,MA,229.0,3.0,3147,40.9,11.2,7.1,0.74,1,68,81,53,84,56,10,885,192,1034,229,1037389
1191,2020-03-19,LA,347.0,8.0,805,75.4,13.8,7.3,0.0,1,78,79,57,79,59,12,885,192,1034,229,1037389
1190,2020-03-19,KY,35.0,1.0,489,63.1,983.1,5.8,99.99,1,80,76,43,74,20,3,885,192,1034,229,1037389
1189,2020-03-19,KS,34.0,1.0,451,64.8,968.3,10.3,0.02,1,82,96,50,97,32,8,885,192,1034,229,1037389
1173,2020-03-19,AK,6.0,0.0,438,28.9,951.8,2.2,0.0,1,77,75,53,100,0,9,885,192,1034,229,1037389
1188,2020-03-19,IN,56.0,2.0,380,51.2,987.0,4.3,0.3,1,79,79,98,100,53,11,885,192,1034,229,1037389
1186,2020-03-19,ID,11.0,0.0,470,37.4,840.0,4.3,0.14,1,64,84,36,100,0,4,885,192,1034,229,1037389
1174,2020-03-19,AL,68.0,0.0,96,71.3,999.9,6.1,0.0,0,75,76,45,81,36,12,885,192,1034,229,1037389
1184,2020-03-19,HI,16.0,0.0,109,72.1,1.9,8.3,0.17,1,80,81,100,71,0,6,885,192,1034,229,1037389
1183,2020-03-19,GA,287.0,10.0,1831,71.1,10.8,3.7,0.0,1,77,75,97,98,80,8,885,192,1034,229,1037389
1196,2020-03-19,MN,89.0,0.0,3038,36.3,977.6,5.5,0.0,1,66,94,87,49,34,7,885,192,1034,229,1037389
1182,2020-03-19,FL,390.0,8.0,2942,73.7,20.0,6.6,0.0,0,82,77,78,87,75,11,885,192,1034,229,1037389
1181,2020-03-19,DE,30.0,0.0,66,49.2,999.9,9.4,0.0,0,76,67,34,58,61,11,885,192,1034,229,1037389
1180,2020-03-19,DC,39.0,0.0,203,56.6,999.9,3.3,0.0,0,74,77,28,38,0,6,885,192,1034,229,1037389
1179,2020-03-19,CT,96.0,1.0,700,42.2,22.8,6.1,0.83,1,73,73,28,81,92,7,885,192,1034,229,1037389
1178,2020-03-19,CO,216.0,2.0,2328,25.5,659.9,6.2,99.99,1,65,78,28,87,45,3,885,192,1034,229,1037389
1177,2020-03-19,CA,924.0,18.0,9711,51.5,5.8,5.4,0.0,1,77,79,80,100,91,9,885,192,1034,229,1037389
1176,2020-03-19,AZ,44.0,0.0,349,53.1,964.8,8.0,0.55,1,83,69,89,72,58,8,885,192,1034,229,1037389
1175,2020-03-19,AR,46.0,0.0,469,68.7,4.3,5.9,0.39,1,82,82,54,64,42,7,885,192,1034,229,1037389
1185,2020-03-19,IA,38.0,0.0,121,45.7,975.8,9.4,0.25,1,74,85,80,61,51,3,885,192,1034,229,1037389
1197,2020-03-19,MO,24.0,1.0,332,61.6,990.8,7.1,0.51,1,86,84,37,100,61,9,885,192,1034,229,1037389
1207,2020-03-19,NY,4152.0,12.0,22284,39.3,973.8,6.9,0.74,1,75,78,99,86,77,15,885,192,1034,229,1037389
1199,2020-03-19,MT,12.0,0.0,773,20.5,999.9,999.9,0.02,0,63,58,0,38,48,7,885,192,1034,229,1037389
1198,2020-03-19,MS,50.0,0.0,602,74.5,7.7,9.8,0.0,0,73,81,27,69,0,8,885,192,1034,229,1037389
1223,2020-03-19,WY,18.0,0.0,289,29.8,832.3,12.0,0.0,1,67,70,0,32,0,0,885,192,1034,229,1037389
1222,2020-03-19,WV,2.0,0.0,148,63.8,984.6,5.7,0.15,1,74,69,26,52,35,12,885,192,1034,229,1037389
1221,2020-03-19,WI,155.0,0.0,2347,37.2,978.6,5.4,0.0,1,78,79,44,78,72,8,885,192,1034,229,1037389
1220,2020-03-19,WA,1563.0,92.0,37623,40.2,875.6,2.3,0.0,0,77,87,64,94,88,9,885,192,1034,229,1037389
1219,2020-03-19,VT,22.0,0.0,667,35.8,987.1,5.3,0.02,1,79,96,0,100,0,0,885,192,1034,229,1037389
1218,2020-03-19,VA,94.0,2.0,1923,63.5,6.5,6.1,0.19,1,76,75,78,95,91,7,885,192,1034,229,1037389
1217,2020-03-19,UT,78.0,0.0,1526,42.4,855.4,6.3,0.03,1,51,60,46,81,56,2,885,192,1034,229,1037389
1216,2020-03-19,TX,143.0,3.0,2355,72.7,983.2,10.5,0.0,1,79,83,75,96,100,7,885,192,1034,229,1037389
1215,2020-03-19,TN,154.0,0.0,503,67.7,999.9,7.0,0.0,1,83,80,53,100,52,9,885,192,1034,229,1037389
1213,2020-03-19,SC,60.0,1.0,643,72.6,17.0,4.8,0.0,0,72,80,65,78,34,10,885,192,1034,229,1037389
1214,2020-03-19,SD,11.0,1.0,947,33.1,953.4,12.7,0.0,0,74,54,85,64,56,5,885,192,1034,229,1037389
1211,2020-03-19,PA,185.0,1.0,1793,46.6,6.6,2.2,0.36,1,81,86,70,76,70,5,885,192,1034,229,1037389
1200,2020-03-19,NC,97.0,0.0,2505,69.2,0.8,6.2,0.0,0,81,79,100,88,94,5,885,192,1034,229,1037389
1201,2020-03-19,ND,15.0,0.0,508,16.5,964.7,15.3,99.99,1,88,93,74,49,0,23,885,192,1034,229,1037389
1202,2020-03-19,NE,27.0,0.0,267,47.5,941.8,12.6,0.4,1,64,79,100,100,0,5,885,192,1034,229,1037389
1203,2020-03-19,NH,39.0,0.0,891,36.4,7.8,3.4,0.03,1,69,87,53,65,0,14,885,192,1034,229,1037389
1204,2020-03-19,NJ,742.0,9.0,1026,47.4,19.5,4.4,0.0,1,71,72,50,81,46,9,885,192,1034,229,1037389
1212,2020-03-19,RI,44.0,0.0,1032,43.6,25.5,8.7,0.39,1,68,81,44,83,0,8,885,192,1034,229,1037389
1206,2020-03-19,NV,95.0,1.0,1721,33.1,826.8,6.5,0.0,1,73,84,26,81,51,9,885,192,1034,229,1037389
1208,2020-03-19,OH,119.0,0.0,259,47.7,976.1,4.1,99.99,1,73,90,74,100,62,10,885,192,1034,229,1037389
1209,2020-03-19,OK,44.0,1.0,760,67.8,974.7,10.0,0.54,1,76,70,89,100,28,9,885,192,1034,229,1037389
1210,2020-03-19,OR,88.0,3.0,1854,32.8,999.9,3.8,0.0,0,84,83,52,84,63,6,885,192,1034,229,1037389
1205,2020-03-19,NM,35.0,0.0,2797,43.3,805.4,14.7,99.99,1,72,76,79,89,90,4,885,192,1034,229,1037389
1134,2020-03-20,IA,45.0,0.0,687,32.7,986.5,18.5,1.4,1,70,77,50,71,24,14,786,225,1122,228,1057868
1144,2020-03-20,MI,4027.0,3.0,6773,44.0,983.2,11.2,99.99,1,72,77,48,80,78,17,786,225,1122,228,1057868
1143,2020-03-20,ME,57.0,0.0,2321,37.2,999.8,5.9,0.05,1,63,78,25,74,0,7,786,225,1122,228,1057868
1142,2020-03-20,MD,149.0,1.0,243,62.2,999.9,5.9,0.0,0,77,77,32,84,99,9,786,225,1122,228,1057868
1141,2020-03-20,MA,314.0,5.0,4109,48.3,999.2,6.2,0.03,1,68,86,76,62,72,13,786,225,1122,228,1057868
1139,2020-03-20,KY,47.0,1.0,639,66.0,981.2,9.0,99.99,1,73,81,31,73,100,12,786,225,1122,228,1057868
1138,2020-03-20,KS,44.0,1.0,461,39.2,986.1,13.5,0.11,1,74,86,60,62,30,12,786,225,1122,228,1057868
1137,2020-03-20,IN,79.0,2.0,554,58.8,984.4,12.4,0.49,1,72,85,87,90,30,17,786,225,1122,228,1057868
1136,2020-03-20,IL,585.0,5.0,4281,49.1,984.7,16.1,0.53,1,75,93,58,71,96,9,786,225,1122,228,1057868
1135,2020-03-20,ID,23.0,0.0,613,37.9,847.0,3.0,0.0,0,65,87,35,46,28,11,786,225,1122,228,1057868
1133,2020-03-20,HI,26.0,0.0,150,71.3,1.7,3.5,0.02,1,80,100,81,70,58,7,786,225,1122,228,1057868
1127,2020-03-20,CO,277.0,3.0,2952,23.0,667.5,7.8,99.99,1,63,81,100,78,19,5,786,225,1122,228,1057868
1131,2020-03-20,FL,520.0,10.0,3416,74.2,20.7,6.0,0.0,0,83,84,100,97,63,12,786,225,1122,228,1057868
1130,2020-03-20,DE,38.0,0.0,74,59.0,999.9,16.4,0.0,0,71,54,34,78,0,7,786,225,1122,228,1057868
1129,2020-03-20,DC,71.0,1.0,573,67.4,999.9,5.9,0.0,0,68,64,19,29,39,9,786,225,1122,228,1057868
1128,2020-03-20,CT,194.0,3.0,798,48.3,11.9,4.7,0.11,1,78,81,49,87,45,12,786,225,1122,228,1057868
1145,2020-03-20,MN,115.0,0.0,3856,24.7,989.3,13.6,0.02,0,64,95,100,50,73,10,786,225,1122,228,1057868
1126,2020-03-20,CA,1063.0,20.0,11487,49.5,12.9,2.8,0.01,0,83,93,95,84,95,13,786,225,1122,228,1057868
1125,2020-03-20,AZ,65.0,0.0,377,57.3,970.6,5.5,0.04,0,83,77,53,63,77,12,786,225,1122,228,1057868
1124,2020-03-20,AR,96.0,0.0,650,65.6,7.8,7.3,0.07,1,74,77,0,66,42,9,786,225,1122,228,1057868
1123,2020-03-20,AL,81.0,0.0,109,72.3,999.9,6.9,0.0,0,73,82,29,73,0,10,786,225,1122,228,1057868
1122,2020-03-20,AK,12.0,0.0,698,32.4,999.9,11.6,0.0,0,74,70,54,51,49,12,786,225,1122,228,1057868
1132,2020-03-20,GA,420.0,13.0,2386,71.7,10.9,6.2,0.0,0,74,74,100,87,68,14,786,225,1122,228,1057868
1146,2020-03-20,MO,47.0,1.0,416,51.3,998.9,9.7,0.42,0,81,81,100,87,39,11,786,225,1122,228,1057868
1140,2020-03-20,LA,479.0,12.0,1047,71.5,16.7,5.8,0.01,1,74,73,24,59,20,16,786,225,1122,228,1057868
1148,2020-03-20,MT,16.0,0.0,947,21.8,999.9,999.9,0.01,0,59,65,0,51,0,4,786,225,1122,228,1057868
1172,2020-03-20,WY,19.0,0.0,350,19.4,842.9,7.2,0.08,1,65,75,44,46,60,16,786,225,1122,228,1057868
1147,2020-03-20,MS,80.0,1.0,775,73.1,9.5,10.0,0.0,1,72,74,52,90,27,10,786,225,1122,228,1057868
1170,2020-03-20,WI,206.0,3.0,3661,32.9,981.9,12.5,0.88,1,75,86,72,55,25,12,786,225,1122,228,1057868
1169,2020-03-20,WA,1804.0,104.0,41632,42.7,883.2,2.3,0.0,0,81,96,50,88,85,19,786,225,1122,228,1057868
1168,2020-03-20,VT,29.0,2.0,808,45.2,971.2,9.3,0.02,1,70,90,0,42,74,12,786,225,1122,228,1057868
1167,2020-03-20,VA,114.0,2.0,2325,72.2,1.8,7.4,0.0,0,70,80,96,88,56,10,786,225,1122,228,1057868
1166,2020-03-20,UT,112.0,0.0,2147,41.5,865.3,6.0,0.08,1,55,71,46,79,56,8,786,225,1122,228,1057868
1165,2020-03-20,TX,194.0,5.0,5277,60.9,991.3,8.7,0.07,1,73,87,89,89,93,10,786,225,1122,228,1057868
1164,2020-03-20,TN,228.0,0.0,791,69.2,999.9,9.4,0.0,0,81,87,73,87,73,16,786,225,1122,228,1057868
1163,2020-03-20,SD,14.0,1.0,947,19.1,971.1,10.9,0.0,0,64,68,42,16,56,0,786,225,1122,228,1057868
1162,2020-03-20,SC,81.0,1.0,914,75.3,16.0,7.4,0.0,1,72,83,55,86,91,11,786,225,1122,228,1057868
1161,2020-03-20,RI,54.0,0.0,994,49.3,14.1,6.9,0.5,1,63,73,22,48,47,6,786,225,1122,228,1057868
1171,2020-03-20,WV,7.0,0.0,239,70.1,981.7,10.3,0.17,1,76,85,51,56,52,24,786,225,1122,228,1057868
1159,2020-03-20,OR,114.0,3.0,2550,37.8,999.9,2.8,0.0,0,82,88,82,100,44,18,786,225,1122,228,1057868
1158,2020-03-20,OK,49.0,1.0,961,50.9,986.4,13.8,0.28,0,78,73,86,73,27,18,786,225,1122,228,1057868
1157,2020-03-20,OH,169.0,1.0,309,60.9,971.3,12.8,99.99,1,67,87,72,88,74,9,786,225,1122,228,1057868
1156,2020-03-20,NY,7102.0,35.0,32427,49.1,964.4,6.0,0.12,1,78,86,86,90,88,22,786,225,1122,228,1057868
1155,2020-03-20,NV,109.0,1.0,2101,33.0,835.0,3.9,0.01,1,70,82,51,62,25,15,786,225,1122,228,1057868
1154,2020-03-20,NM,43.0,0.0,3814,37.7,815.2,7.6,99.99,1,69,79,48,50,30,12,786,225,1122,228,1057868
1153,2020-03-20,NJ,890.0,11.0,1240,58.9,11.7,9.9,0.01,1,72,74,63,93,82,13,786,225,1122,228,1057868
1152,2020-03-20,NH,44.0,0.0,1420,38.8,993.1,4.4,0.18,1,66,81,67,70,39,11,786,225,1122,228,1057868
1151,2020-03-20,NE,32.0,0.0,272,24.0,961.1,20.7,0.5,1,57,81,74,56,0,13,786,225,1122,228,1057868
1150,2020-03-20,ND,20.0,0.0,820,8.4,976.5,7.5,0.0,0,86,77,72,64,74,7,786,225,1122,228,1057868
1149,2020-03-20,NC,137.0,0.0,3233,73.8,998.5,9.3,0.0,0,79,80,88,80,42,12,786,225,1122,228,1057868
1160,2020-03-20,PA,268.0,1.0,2842,56.0,998.5,5.0,0.06,1,79,90,46,86,94,7,786,225,1122,228,1057868
1071,2020-03-21,AK,14.0,0.0,772,37.0,952.4,2.2,0.09,1,77,81,0,32,0,21,799,295,1114,210,969326
1087,2020-03-21,KS,55.0,2.0,472,33.8,993.1,5.9,0.0,0,78,98,82,96,34,19,799,295,1114,210,969326
1088,2020-03-21,KY,54.0,2.0,768,40.8,990.9,7.8,0.0,0,73,82,84,59,34,22,799,295,1114,210,969326
1093,2020-03-21,MI,4543.0,5.0,8239,26.4,6.3,7.6,99.99,1,72,79,69,82,78,24,799,295,1114,210,969326
1090,2020-03-21,MA,426.0,7.0,5225,47.5,3.7,10.2,0.0,0,68,84,95,93,46,22,799,295,1114,210,969326
1091,2020-03-21,MD,190.0,2.0,284,55.9,999.9,4.9,0.0,0,76,71,49,73,37,15,799,295,1114,210,969326
1092,2020-03-21,ME,73.0,0.0,2337,38.3,4.1,10.9,0.01,1,60,86,28,46,44,18,799,295,1114,210,969326
1085,2020-03-21,IL,753.0,6.0,6241,31.5,1.3,9.7,0.0,0,64,86,78,77,23,16,799,295,1114,210,969326
1094,2020-03-21,MN,138.0,1.0,4090,24.1,995.3,7.0,0.0,0,62,90,39,46,67,15,799,295,1114,210,969326
1089,2020-03-21,LA,585.0,16.0,2765,59.5,22.1,4.5,1.44,1,72,73,83,69,57,29,799,295,1114,210,969326
1084,2020-03-21,ID,31.0,0.0,911,39.1,846.8,2.7,0.0,0,65,84,41,39,0,17,799,295,1114,210,969326
1078,2020-03-21,DC,77.0,1.0,583,59.5,999.9,5.6,0.0,0,67,58,25,25,0,8,799,295,1114,210,969326
1082,2020-03-21,HI,37.0,0.0,161,71.7,2.3,3.3,0.0,0,77,94,36,83,42,14,799,295,1114,210,969326
1081,2020-03-21,GA,507.0,14.0,3064,71.7,9.8,4.2,0.0,0,77,74,51,97,100,17,799,295,1114,210,969326
1079,2020-03-21,DE,45.0,0.0,81,54.6,999.9,12.5,0.0,0,68,70,72,75,33,6,799,295,1114,210,969326
1077,2020-03-21,CT,194.0,4.0,2300,48.4,17.2,8.5,0.01,1,75,78,26,93,80,14,799,295,1114,210,969326
1076,2020-03-21,CO,363.0,4.0,3680,20.5,669.4,8.8,99.99,1,65,77,0,52,51,8,799,295,1114,210,969326
1075,2020-03-21,CA,1279.0,24.0,12528,55.0,12.0,5.0,0.1,1,76,81,84,100,84,18,799,295,1114,210,969326
1074,2020-03-21,AZ,104.0,1.0,466,62.1,967.9,3.4,0.0,0,83,71,53,90,54,13,799,295,1114,210,969326
1073,2020-03-21,AR,118.0,0.0,839,47.9,18.7,7.2,0.0,0,76,86,33,69,0,13,799,295,1114,210,969326
1072,2020-03-21,AL,124.0,0.0,152,65.3,999.9,5.9,0.05,0,70,78,100,63,59,18,799,295,1114,210,969326
1095,2020-03-21,MO,73.0,3.0,442,36.1,11.8,3.7,0.0,0,86,89,65,79,100,18,799,295,1114,210,969326
1083,2020-03-21,IA,68.0,0.0,1117,31.4,997.1,6.6,0.01,0,73,81,57,41,27,26,799,295,1114,210,969326
1096,2020-03-21,MS,140.0,1.0,835,58.7,14.7,6.9,0.34,1,72,78,29,88,30,22,799,295,1114,210,969326
1080,2020-03-21,FL,658.0,12.0,8239,74.7,19.1,3.2,0.0,0,82,82,72,84,99,15,799,295,1114,210,969326
1098,2020-03-21,NC,184.0,0.0,5276,69.1,997.6,3.1,99.99,1,77,78,53,73,49,13,799,295,1114,210,969326
1097,2020-03-21,MT,20.0,0.0,1166,32.0,999.9,999.9,0.0,0,66,63,55,52,0,17,799,295,1114,210,969326
1121,2020-03-21,WY,23.0,0.0,461,36.8,838.2,9.5,0.0,0,70,59,0,92,72,8,799,295,1114,210,969326
1120,2020-03-21,WV,11.0,0.0,343,46.7,989.8,7.0,0.27,1,87,71,0,56,0,45,799,295,1114,210,969326
1119,2020-03-21,WI,281.0,4.0,4909,24.6,997.6,5.6,0.01,0,75,81,50,68,22,14,799,295,1114,210,969326
1118,2020-03-21,WA,2042.0,111.0,43978,39.3,883.6,4.5,0.0,0,77,88,45,84,87,18,799,295,1114,210,969326
1117,2020-03-21,VT,29.0,2.0,808,30.5,982.6,11.2,0.03,1,75,87,38,70,88,11,799,295,1114,210,969326
1116,2020-03-21,VA,152.0,2.0,2790,58.0,5.1,8.0,0.16,1,72,79,95,78,45,16,799,295,1114,210,969326
1115,2020-03-21,UT,136.0,0.0,2560,39.5,866.5,4.5,0.03,1,57,76,55,86,0,14,799,295,1114,210,969326
1114,2020-03-21,TX,304.0,5.0,6522,48.0,996.5,9.3,0.32,1,73,81,100,80,85,17,799,295,1114,210,969326
1113,2020-03-21,TN,371.0,0.0,3643,49.6,999.9,6.8,0.0,0,78,82,86,64,47,17,799,295,1114,210,969326
1112,2020-03-21,SD,14.0,1.0,973,30.9,961.9,9.1,0.0,0,67,51,0,28,0,11,799,295,1114,210,969326
1111,2020-03-21,SC,152.0,1.0,1407,74.7,13.8,4.3,0.0,0,75,84,64,68,78,10,799,295,1114,210,969326
1086,2020-03-21,IN,126.0,4.0,833,32.3,1.2,7.9,0.16,0,72,80,70,74,42,26,799,295,1114,210,969326
1109,2020-03-21,PA,371.0,2.0,4137,44.3,8.7,10.0,0.17,0,76,87,64,76,72,8,799,295,1114,210,969326
1108,2020-03-21,OR,114.0,3.0,2550,37.5,999.9,3.1,0.0,0,81,87,46,71,60,18,799,295,1114,210,969326
1107,2020-03-21,OK,53.0,1.0,757,40.5,995.1,5.2,0.0,1,73,71,32,39,0,18,799,295,1114,210,969326
1106,2020-03-21,OH,247.0,3.0,387,33.6,985.5,8.4,0.0,0,66,78,77,70,66,17,799,295,1114,210,969326
1105,2020-03-21,NY,10356.0,44.0,45437,39.5,971.9,13.0,0.16,0,64,73,65,82,57,30,799,295,1114,210,969326
1104,2020-03-21,NV,124.0,2.0,2508,35.5,836.1,5.7,0.01,0,72,85,0,38,42,19,799,295,1114,210,969326
1103,2020-03-21,NM,57.0,0.0,3828,39.7,815.0,5.2,99.99,1,68,88,70,59,100,28,799,295,1114,210,969326
1102,2020-03-21,NJ,1327.0,16.0,1661,55.2,16.7,9.1,0.0,0,73,94,64,100,70,20,799,295,1114,210,969326
1101,2020-03-21,NH,55.0,0.0,1970,40.2,998.5,11.1,0.0,0,69,80,30,61,0,23,799,295,1114,210,969326
1100,2020-03-21,NE,38.0,0.0,394,29.2,962.8,10.1,0.0,0,65,85,57,44,0,15,799,295,1114,210,969326
1110,2020-03-21,RI,66.0,0.0,1218,51.1,16.8,11.2,0.01,0,65,82,24,61,0,20,799,295,1114,210,969326
1099,2020-03-21,ND,28.0,0.0,1169,16.7,970.3,11.8,99.99,1,82,98,0,100,0,17,799,295,1114,210,969326
1035,2020-03-22,IN,201.0,6.0,1494,32.3,999.7,6.1,0.0,1,76,86,78,50,25,24,627,209,1130,236,1079005
1037,2020-03-22,KY,99.0,3.0,1571,37.7,991.7,2.8,0.0,0,74,90,47,56,45,20,627,209,1130,236,1079005
1038,2020-03-22,LA,837.0,20.0,3498,60.5,18.2,4.8,1.72,1,81,100,100,84,67,23,627,209,1130,236,1079005
1043,2020-03-22,MN,169.0,1.0,4680,33.6,985.5,13.4,0.01,1,65,88,67,50,19,17,627,209,1130,236,1079005
1040,2020-03-22,MD,244.0,3.0,338,43.2,999.9,5.5,0.0,0,77,80,72,60,46,12,627,209,1130,236,1079005
1041,2020-03-22,ME,89.0,0.0,2353,24.4,23.8,8.2,0.0,0,67,84,57,51,44,21,627,209,1130,236,1079005
1042,2020-03-22,MI,5098.0,8.0,8810,27.6,6.6,5.9,0.0,0,76,86,64,65,95,23,627,209,1130,236,1079005
1034,2020-03-22,IL,1049.0,9.0,8320,28.2,997.7,8.9,0.0,1,68,88,69,67,55,17,627,209,1130,236,1079005
1039,2020-03-22,MA,547.0,11.0,6023,31.8,19.6,7.6,0.0,0,66,88,47,73,91,26,627,209,1130,236,1079005
1033,2020-03-22,ID,42.0,0.0,1217,38.6,844.3,3.6,0.0,0,68,82,80,58,0,10,627,209,1130,236,1079005
1027,2020-03-22,DC,98.0,1.0,1055,47.1,999.9,4.6,0.0,0,73,65,100,12,50,4,627,209,1130,236,1079005
1031,2020-03-22,HI,48.0,0.0,311,72.5,2.5,9.3,0.0,0,74,86,37,60,44,5,627,209,1130,236,1079005
1030,2020-03-22,GA,600.0,23.0,4020,63.0,10.9,5.8,0.0,1,78,85,78,77,86,17,627,209,1130,236,1079005
1028,2020-03-22,DE,56.0,0.0,92,42.7,999.9,11.3,0.0,0,76,68,34,46,0,5,627,209,1130,236,1079005
1044,2020-03-22,MO,90.0,3.0,459,38.4,4.7,8.7,0.18,1,85,100,56,95,55,20,627,209,1130,236,1079005
1026,2020-03-22,CT,223.0,5.0,3100,35.1,32.2,6.6,0.0,0,70,84,25,87,66,18,627,209,1130,236,1079005
1025,2020-03-22,CO,475.0,5.0,4550,21.8,666.7,9.5,99.99,1,64,73,64,63,52,8,627,209,1130,236,1079005
1024,2020-03-22,CA,1536.0,27.0,12840,55.7,10.5,2.6,0.07,1,73,86,100,88,76,15,627,209,1130,236,1079005
1023,2020-03-22,AZ,152.0,2.0,521,62.2,968.2,3.7,0.0,0,81,74,86,100,65,18,627,209,1130,236,1079005
1022,2020-03-22,AR,165.0,0.0,995,46.4,12.7,5.0,0.0,1,74,84,64,100,100,16,627,209,1130,236,1079005
1021,2020-03-22,AL,138.0,0.0,1602,56.2,999.9,4.1,0.02,0,71,85,83,57,40,14,627,209,1130,236,1079005
1020,2020-03-22,AK,22.0,0.0,968,28.7,999.9,4.2,0.0,0,66,71,58,22,0,25,627,209,1130,236,1079005
1032,2020-03-22,IA,90.0,0.0,1305,32.3,990.1,13.5,0.0,1,76,93,41,64,53,16,627,209,1130,236,1079005
1045,2020-03-22,MS,207.0,1.0,1321,58.7,11.6,6.2,0.8,1,72,93,28,100,60,33,627,209,1130,236,1079005
1029,2020-03-22,FL,830.0,13.0,9783,74.8,18.1,2.6,0.0,0,84,84,97,93,44,18,627,209,1130,236,1079005
1047,2020-03-22,NC,255.0,0.0,6438,52.8,4.3,5.6,0.14,1,81,89,64,59,89,13,627,209,1130,236,1079005
1046,2020-03-22,MT,31.0,0.0,1177,31.1,999.9,999.9,0.0,0,66,63,55,43,0,21,627,209,1130,236,1079005
1070,2020-03-22,WY,24.0,0.0,462,39.3,834.3,11.2,0.0,0,63,81,53,18,0,7,627,209,1130,236,1079005
1069,2020-03-22,WV,12.0,0.0,398,42.6,993.8,3.8,0.0,0,87,92,55,84,76,30,627,209,1130,236,1079005
1068,2020-03-22,WI,385.0,4.0,6615,30.3,992.3,7.6,0.0,1,75,83,100,76,59,19,627,209,1130,236,1079005
